ticker,start_year,start,end,months,total_contributed,dca_final_value,lump_sum_final_value,dca_return,lump_sum_return,dca_vs_lump_sum,dca_max_drawdown,dca_days_to_recover,lump_sum_max_drawdown,lump_sum_days_to_recover,dca_worst_vs_contributed,lump_sum_worst_vs_contributed
BND,2025,2025-01-02,2026-08-31,20,200000.0,203241.500103,213694.263116,0.016208,0.068471,-0.048915,-0.024766,,-0.026755,,-0.010703,-0.010703
BND,2026,2026-01-02,2026-08-31,8,80000.0,79595.471225,79889.912475,-0.005057,-0.001376,-0.003686,-0.023145,91.0,-0.026755,,-0.012793,-0.008629
BIL,2010,2010-09-09,2026-08-31,192,1920000.0,2298257.333387,2396044.804461,0.197009,0.24794,-0.040812,-0.002693,489.0,-0.004316,583.0,-0.002639,-0.003882
BIL,2011,2011-01-03,2026-08-31,188,1880000.0,2248342.460619,2345614.467297,0.195927,0.247667,-0.04147,-0.002585,453.0,-0.004316,583.0,-0.002553,-0.004099
BIL,2012,2012-01-03,2026-08-31,176,1760000.0,2098592.401004,2197715.56013,0.192382,0.248702,-0.045103,-0.002252,414.0,-0.003491,546.0,-0.002216,-0.003274
BIL,2013,2013-01-02,2026-08-31,164,1640000.0,1948740.013729,2048317.418613,0.188256,0.248974,-0.048614,-0.001899,386.0,-0.003274,534.0,-0.001881,-0.003056
BIL,2014,2014-01-02,2026-08-31,152,1520000.0,1798827.630646,1900100.935366,0.183439,0.250066,-0.053299,-0.001845,158.0,-0.002403,496.0,-0.001412,-0.002184
BIL,2015,2015-01-02,2026-08-31,140,1400000.0,1648789.652606,1751622.948268,0.177707,0.251159,-0.058707,-0.001811,158.0,-0.002085,169.0,-0.000838,-0.001312
BIL,2016,2016-01-04,2026-08-31,128,1280000.0,1498579.328162,1602885.629336,0.170765,0.252254,-0.065074,-0.001765,157.0,-0.002085,169.0,-0.000438,-0.000438
BIL,2017,2017-01-03,2026-08-31,116,1160000.0,1348366.561387,1450710.223461,0.162385,0.250612,-0.070547,-0.001701,157.0,-0.002085,169.0,-0.000219,-0.000219
BIL,2018,2018-01-02,2026-08-31,104,1040000.0,1198638.430092,1292159.4323,0.152537,0.242461,-0.072376,-0.001606,136.0,-0.002085,169.0,0.0,0.0
BIL,2019,2019-01-02,2026-08-31,92,920000.0,1050582.492121,1123789.433749,0.141937,0.22151,-0.065143,-0.001451,135.0,-0.002085,169.0,0.0,0.0
BIL,2020,2020-01-02,2026-08-31,80,800000.0,905475.10447,957328.640217,0.131844,0.196661,-0.054165,-0.001154,101.0,-0.002085,169.0,-0.00077,-0.00011
BIL,2021,2021-01-04,2026-08-31,68,680000.0,762318.455981,810764.851653,0.121057,0.192301,-0.059754,-0.000788,88.0,-0.001311,128.0,-0.000788,-0.001311
BIL,2022,2022-01-03,2026-08-31,56,560000.0,619181.053815,668419.029108,0.10568,0.193605,-0.073663,-0.000328,16.0,-0.000328,16.0,-0.000218,-0.000218
BIL,2023,2023-01-03,2026-08-31,44,440000.0,476326.441228,517798.826698,0.08256,0.176816,-0.080094,-0.000219,2.0,-0.000219,2.0,-0.000109,-0.000109
BIL,2024,2024-01-02,2026-08-31,32,320000.0,338003.794455,358836.830039,0.056262,0.121365,-0.058057,-0.00011,1.0,-0.00011,1.0,0.0,0.0
BIL,2025,2025-01-02,2026-08-31,20,200000.0,206590.627279,213178.074163,0.032953,0.06589,-0.030901,-0.000109,1.0,-0.000109,1.0,0.0,0.0
BIL,2026,2026-01-02,2026-08-31,8,80000.0,81052.770592,81857.837535,0.01316,0.023223,-0.009835,-0.000109,1.0,-0.000109,1.0,0.0,0.0
