Date,ml:logistic_regression/base,ml:logistic_regression/extended,ml:random_forest/base,ml:random_forest/extended,ml:hist_gradient_boosting/base,ml:hist_gradient_boosting/extended,baseline:always_up,baseline:historical_mean,baseline:momentum_252d,baseline:moving_average_200d,baseline:random
2018-09-05,14192.318390,14353.643796,15155.980876,15097.069702,13849.583320,14776.535385,15097.069702,15097.069702,14627.598770,14627.598770,12869.132005
2018-09-06,14150.640061,14356.779819,15111.472577,15052.734406,13808.911495,14733.141397,15052.734406,15052.734406,14584.642161,14584.642161,12831.339454
2018-09-07,14116.439113,14359.921737,15074.949375,15016.353170,13775.536477,14697.532590,15016.353170,15016.353170,14549.392265,14549.392265,12800.327149
2018-09-10,14143.151579,14359.921737,15103.475625,15044.768538,13801.603855,14725.344656,15044.768538,15044.768538,14576.924006,14576.924006,12824.549143
2018-09-11,14196.595012,14361.492696,15160.547882,15101.618956,13853.756664,14780.988051,15101.618956,15101.618956,14632.006556,14632.006556,12873.009907
2018-09-12,14198.196316,14361.492696,15162.257916,15103.322343,13855.319299,14782.655272,15103.322343,15103.322343,14633.656973,14633.656973,12874.461918
2018-09-13,14278.883208,14361.492696,15248.423470,15189.152973,13934.057655,14866.663584,15189.152973,15189.152973,14716.818543,14716.818543,12947.626163
2018-09-14,14286.364289,14363.054812,15256.412520,15197.110968,13941.358074,14874.452619,15197.110968,15197.110968,14724.529070,14724.529070,12954.409764
2018-09-17,14205.676473,14366.195256,15170.245977,15111.279354,13862.618814,14790.443344,15111.279354,15111.279354,14641.366547,14641.366547,12881.244680
2018-09-18,14283.156129,14366.195256,15252.986524,15193.698290,13938.227388,14871.112398,15193.698290,15193.698290,14721.222515,14721.222515,12951.500709
2018-09-19,14299.186754,14366.195256,15270.105633,15210.750857,13953.870884,14887.802912,15210.750857,15210.750857,14737.744802,14737.744802,12966.036757
2018-09-20,14414.075518,14369.337174,15392.795378,15332.963707,14065.985161,15007.420993,15332.963707,15332.963707,14856.157220,14856.157220,13070.214146
2018-09-21,14403.919120,14369.337174,15381.949357,15322.159845,14056.074033,14996.846513,15322.159845,15322.159845,14845.689324,14845.689324,13061.004655
2018-09-24,14355.828171,14370.906660,15330.593019,15271.003128,14009.144449,14946.775934,15271.003128,15271.003128,14796.123419,14796.123419,13017.397349
2018-09-25,14338.195317,14370.906660,15311.762888,15252.246191,13991.937416,14928.417235,15252.246191,15252.246191,14777.949762,14777.949762,13001.408451
2018-09-26,14296.166384,14370.906660,15266.880179,15207.537940,13950.923454,14884.658210,15207.537940,15207.537940,14734.631796,14734.631796,12963.297984
2018-09-27,14335.886329,14374.045630,15309.297120,15249.790007,13989.684189,14926.013200,15249.790007,15249.790007,14775.569958,14775.569958,12999.314736
2018-09-28,14334.277624,14374.045630,15307.579183,15248.078748,13988.114333,14924.338273,15248.078748,15248.078748,14773.911913,14773.911913,12997.856015
2018-10-01,14387.417632,14374.993216,15364.327413,15304.606398,14039.971045,14979.665753,15304.606398,15304.606398,14828.681733,14828.681733,13046.041643
2018-10-02,14385.811702,14347.838307,15362.612440,15302.898090,14038.403897,14977.993716,15302.898090,15302.898090,14827.026549,14827.026549,13044.585438
2018-10-03,14398.149427,14360.143465,15375.787900,15316.022338,14050.443674,14990.839315,15316.022338,15316.022338,14839.742674,14839.742674,13055.772885
2018-10-04,14280.061754,14242.367501,15249.682040,15190.406650,13935.207740,14867.890644,15190.406650,15190.406650,14718.033235,14718.033235,12948.694829
2018-10-05,14199.548776,14162.067049,15163.702208,15104.761021,13856.639097,14784.063405,15104.761021,15104.761021,14635.050913,14635.050913,12875.688284
2018-10-08,14195.793897,14158.322081,15159.692371,15100.766770,13852.974896,14780.153959,15100.766770,15100.766770,14631.180871,14631.180871,12872.283482
2018-10-09,14177.542167,14140.118529,15140.201344,15081.351504,13835.163933,14761.150909,15081.351504,15081.351504,14612.369358,14612.369358,12855.733408
2018-10-10,13719.685547,13683.470487,14651.256128,14594.306815,13388.364247,14284.446937,14594.306815,14594.306815,14140.470212,14140.470212,12440.563940
2018-10-11,13430.903035,13395.450257,14342.865200,14287.114600,13106.555640,13983.776892,14287.114600,14287.114600,13842.830700,13842.830700,12178.705364
2018-10-12,13612.332444,13576.400757,14536.613718,14480.110019,13283.603649,14172.674718,14480.110019,14480.110019,14029.824574,14029.824574,12343.219642
2018-10-15,13537.718669,13501.983937,14456.933647,14400.739664,13210.791748,14094.989519,14400.739664,14400.739664,13952.922385,13952.922385,12275.562302
2018-10-16,13825.961863,13789.466272,14764.748637,14707.358179,13492.074060,14395.098045,14707.358179,14707.358179,14250.006037,14250.006037,12536.931841
2018-10-17,13830.790755,13794.282417,14769.905411,14712.494909,13496.786337,14400.125714,14712.494909,14712.494909,14254.983032,14254.983032,12541.310523
2018-10-18,13636.484302,13600.488863,14562.405494,14505.801543,13307.172256,14197.820770,14505.801543,14505.801543,14054.717173,14054.717173,12365.119760
2018-10-19,13625.747881,13589.780783,14550.940068,14494.380682,13296.695113,14186.642392,14494.380682,14494.380682,14043.651465,14043.651465,12355.384324
2018-10-22,13569.389537,13533.571205,14490.754976,14434.429529,13241.697786,14127.964096,14434.429529,14434.429529,13985.564602,13985.564602,12304.280414
2018-10-23,13487.797922,13452.194963,14403.623267,14347.636501,13162.076554,14043.013819,14347.636501,14347.636501,13901.470561,13901.470561,12230.295795
2018-10-24,13085.227485,13050.687167,13973.718181,13919.402453,12769.227925,13623.871847,13919.402453,13919.402453,13486.553232,13486.553232,11865.258036
2018-10-25,13319.792277,13284.632792,14224.209990,14168.920601,12998.128133,13868.092336,14168.920601,14168.920601,13728.312159,13728.312159,12077.953748
2018-10-26,13084.150697,13049.613222,13972.568280,13918.257021,12768.177142,13622.750734,13918.257021,13918.257021,13485.443420,13485.443420,11864.281640
2018-10-29,13016.522164,12982.163204,13900.347750,13846.317212,12702.181793,13552.338319,13846.317212,13846.317212,13415.740711,13415.740711,11802.958289
