Date,US equity,Global equity,US + Japan,US 60/40,Global 60/40,Conservative
2019-04-01,3.079561,2.133198,2.567264,2.199372,1.76212,1.582588
2019-04-02,3.080617,2.132909,2.562813,2.200252,1.762298,1.583021
2019-04-03,3.086364,2.141832,2.570632,2.201707,1.766004,1.583196
2019-04-04,3.093755,2.144711,2.574615,2.205831,1.768146,1.585192
2019-04-05,3.108652,2.153346,2.583987,2.213114,1.773096,1.588147
2019-04-08,3.11135,2.155937,2.58385,2.213509,1.773779,1.58799
2019-04-09,3.09481,2.144423,2.57003,2.20732,1.768816,1.58618
2019-04-10,3.105484,2.153346,2.576495,2.21322,1.774325,1.588807
2019-04-11,3.104899,2.149604,2.573876,2.211535,1.771247,1.587792
2019-04-12,3.125896,2.16486,2.590074,2.219414,1.777895,1.59017
2019-04-15,3.123784,2.161406,2.588687,2.218672,1.776276,1.590018
2019-04-16,3.126012,2.166299,2.592949,2.218246,1.777656,1.589326
2019-04-17,3.118388,2.163708,2.588426,2.214831,1.776318,1.588147
2019-04-18,3.124253,2.165435,2.592974,2.218576,1.778111,1.590017
2019-04-22,3.127304,2.16342,2.592111,2.21913,1.776415,1.589919
2019-04-23,3.154283,2.177237,2.612258,2.232637,1.784697,1.595509
2019-04-24,3.148066,2.165435,2.599483,2.231988,1.780322,1.596164
2019-04-25,3.146892,2.163996,2.600391,2.231259,1.779415,1.595914
2019-04-26,3.161321,2.174359,2.615632,2.239551,1.78624,1.599653
2019-04-29,3.165309,2.177237,2.620937,2.239609,1.786334,1.599077
2019-04-30,3.167303,2.179252,2.619447,2.241722,1.788357,1.600374
2019-05-01,3.144195,2.165147,2.6032,2.231423,1.781115,1.596558
2019-05-02,3.137978,2.161981,2.59978,2.226804,1.778003,1.594192
2019-05-03,3.167773,2.182706,2.626942,2.241678,1.789936,1.600381
2019-05-06,3.155221,2.167451,2.611879,2.237075,1.782879,1.599089
2019-05-07,3.104077,2.13147,2.568044,2.21539,1.765285,1.591479
2019-05-08,3.097977,2.131182,2.560015,2.212047,1.764644,1.589999
2019-05-09,3.088476,2.118805,2.549702,2.208606,1.758909,1.589066
2019-05-10,3.102904,2.129168,2.563205,2.214967,1.764178,1.591508
2019-05-13,3.026775,2.075629,2.501742,2.182601,1.737929,1.579991
2019-05-14,3.05305,2.097217,2.527217,2.194879,1.749486,1.584827
2019-05-15,3.071115,2.107003,2.539003,2.204193,1.755525,1.588821
2019-05-16,3.099268,2.122547,2.558643,2.21558,1.762566,1.592676
2019-05-17,3.080499,2.105564,2.544837,2.207378,1.753961,1.589731
2019-05-20,3.059502,2.093762,2.528506,2.196954,1.747045,1.585497
